Date,Open,High,Low,Close,Adj Close,Volume
2025-07-03,37.36,37.6,37.04,37.09,37.09,11189573
2025-07-04,35.6,36.190000000000005,35.18,35.96,35.96,6323483
2025-07-07,38.57,39.29,37.79,38.63,38.63,6722320
2025-07-08,38.8,39.489999999999995,38.69,39.03,39.03,18298372
2025-07-09,37.81,38.11,37.61,38.06,38.06,7332517
2025-07-10,38.85,39.59,38.71,38.81,38.81,17925698
2025-07-11,37.47,37.78,37.33,37.55,37.55,8196340
2025-07-14,37.61,38.0,36.74,36.75,36.75,18392918
2025-07-15,37.14,37.910000000000004,36.410000000000004,37.11,37.11,19441444
2025-07-16,35.13,35.81,34.6,34.67,34.67,19880308
2025-07-17,35.54,36.4,35.35,35.47,35.47,19428836
2025-07-18,35.16,35.849999999999994,34.62,34.76,34.76,18636297
2025-07-21,38.18,38.79,37.65,38.39,38.39,13551881
2025-07-22,36.57,36.75,36.31,36.64,36.64,17243026
2025-07-23,37.54,37.97,37.05,37.59,37.59,10387408
2025-07-24,39.54,39.88,39.08,39.85,39.85,17041300
2025-07-25,36.25,36.57,35.6,35.96,35.96,10692493
2025-07-28,37.05,38.029999999999994,36.379999999999995,36.85,36.85,13247752
2025-07-29,38.78,39.230000000000004,38.64,39.15,39.15,6087341
2025-07-30,36.14,37.04,35.7,36.0,36.0,11195200
2025-07-31,35.38,36.050000000000004,34.720000000000006,36.0,36.0,8977266
2025-08-01,36.45,37.27,35.900000000000006,35.92,35.92,10558956
2025-08-04,35.81,36.36,34.940000000000005,36.32,36.32,8031756
2025-08-05,39.65,40.269999999999996,38.96,39.02,39.02,5843523
2025-08-06,39.04,39.58,38.79,39.49,39.49,13934845
2025-08-07,38.17,38.45,38.010000000000005,38.24,38.24,18832640
2025-08-08,39.36,40.11,38.68,40.1,40.1,18283815
2025-08-11,39.02,39.370000000000005,38.900000000000006,38.93,38.93,9040479
2025-08-12,35.93,36.05,35.3,35.72,35.72,5092193
2025-08-13,39.46,40.14,38.51,40.09,40.09,16570523
2025-08-14,37.7,37.96,37.080000000000005,37.54,37.54,18088862
